PAFS_LRMA_NAME,POL_LRMA_NAME
High Peak Borough Council,High Peak Borough Council
Highways England,Highways England
Hinckley and Bosworth Borough Council,Hinckley and Bosworth Borough Council
Horsham District Council,Horsham District Council
Huntingdonshire District Council,Huntingdonshire District Council
Hyndburn Borough Council,Hyndburn Borough Council
Ipswich Borough Council,Ipswich Borough Council
Isle of Wight Council,Isle of Wight Council
Kent County Council,Kent County Council
Kettering Borough Council,Kettering Borough Council
Lancashire County Council,Lancashire County Council
Lancaster City Council,Lancaster City Council
Leeds City Council,Leeds City Council
Leicester City Council,Leicester City Council
Leicestershire County Council,Leicestershire County Council
Lewes District Council,Lewes District Council
Lincolnshire County Council,Lincolnshire County Council
Lindsey Marsh Drainage Board,Lindsey Marsh Drainage Board
Liverpool City Council,Liverpool City Council
London Borough of Barking and Dagenham,London Borough of Barking and Dagenham
London Borough of Barnet,London Borough of Barnet
London Borough of Bexley,London Borough of Bexley
London Borough of Brent,London Borough of Brent
London Borough of Bromley,London Borough of Bromley
London Borough of Camden,London Borough of Camden
London Borough of Croydon,London Borough of Croydon
London Borough of Ealing,London Borough of Ealing
London Borough of Enfield,London Borough of Enfield
London Borough of Hackney,London Borough of Hackney
London Borough of Haringey,London Borough of Haringey
London Borough of Harrow,London Borough of Harrow
London Borough of Havering,London Borough of Havering
London Borough of Hillingdon,London Borough of Hillingdon
London Borough of Hounslow,London Borough of Hounslow
London Borough of Islington,London Borough of Islington
London Borough of Lambeth,London Borough of Lambeth
London Borough of Lewisham,London Borough of Lewisham
London Borough of Merton,London Borough of Merton
London Borough of Newham,London Borough of Newham
London Borough of Redbridge,London Borough of Redbridge
London Borough of Richmond upon Thames,London Borough of Richmond upon Thames
London Borough of Southwark,London Borough of Southwark
London Borough of Sutton,London Borough of Sutton
London Borough of Tower Hamlets,London Borough of Tower Hamlets
London Borough of Waltham Forest,London Borough of Waltham Forest
London Borough of Wandsworth,London Borough of Wandsworth
Luton Borough Council,Luton Borough Council
Maidstone Borough Council,Maidstone Borough Council
Maldon District Council,Maldon District Council
Malvern Hills District Council,Malvern Hills District Council
Manchester City Council,Manchester City Council
Manea and Welney District Drainage Commissioners,Manea and Welney District Drainage Commissioners
Mansfield District Council,Mansfield District Council
March Fifth District Drainage Commissioners,March Fifth District Drainage Commissioners
March Sixth District Drainage Commissioners,March Sixth District Drainage Commissioners
March Third District Drainage Commissioners,March Third District Drainage Commissioners
Medway Council,Medway Council
Melton Borough Council,Melton Borough Council
Mendip District Council,Mendip District Council
Mid Devon District Council,Mid Devon District Council
Mid Suffolk District Council,Mid Suffolk District Council
Mid Sussex District Council,Mid Sussex District Council
Middle Level Commissioners,Middle Level Commissioners
Middlesbrough Borough Council,Middlesbrough Borough Council
Milton Keynes Council,Milton Keynes Council
Mole Valley District Council,Mole Valley District Council
New Forest District Council,New Forest District Council
Newark and Sherwood District Council,Newark and Sherwood District Council
Norfolk County Council,Norfolk County Council
North Devon District Council,North Devon District Council
North East Derbyshire District Council,North East Derbyshire District Council
North East Lincolnshire Council,North East Lincolnshire Council
North Hertfordshire District Council,North Hertfordshire District Council
North Kesteven District Council,North Kesteven District Council
North Lincolnshire Council,North Lincolnshire Council
North Norfolk District Council,North Norfolk District Council
North Somerset Council,North Somerset Council
North Warwickshire Borough Council,North Warwickshire Borough Council
North West Leicestershire District Council,North West Leicestershire District Council
North Yorkshire County Council,North Yorkshire County Council
Northampton Borough Council,Northampton Borough Council
Northamptonshire County Council,Northamptonshire County Council
Northumberland County Council,Northumberland County Council
Northumbrian Water,Northumbrian Water
Norwich City Council,Norwich City Council
Nottingham City Council,Nottingham City Council
Nottinghamshire County Council,Nottinghamshire County Council
Nuneaton and Bedworth Borough Council,Nuneaton and Bedworth Borough Council
Oadby and Wigston Borough Council,Oadby and Wigston Borough Council
Ouse and Humber Drainage Board,Ouse and Humber Drainage Board
Oxford City Council,Oxford City Council
Oxfordshire County Council,Oxfordshire County Council
Pendle Borough Council,Pendle Borough Council
Peterborough City Council,Peterborough City Council
Plymouth City Council,Plymouth City Council
Portsmouth City Council,Portsmouth City Council
Preston City Council,Preston City Council
Ransonmoor District Drainage Commissioners,Ransonmoor District Drainage Commissioners
Reading Borough Council,Reading Borough Council
Redcar and Cleveland Borough Council,Redcar and Cleveland Borough Council
Redditch Borough Council,Redditch Borough Council
Reedness and Swinefleet Drainage Board,Reedness and Swinefleet Drainage Board
Reigate and Banstead Borough Council,Reigate and Banstead Borough Council
Ribble Valley Borough Council,Ribble Valley Borough Council
Richmondshire District Council,Richmondshire District Council
Rochford District Council,Rochford District Council
Rossendale Borough Council,Rossendale Borough Council
Rother District Council,Rother District Council
Royal Borough of Kensington and Chelsea,Royal Borough of Kensington and Chelsea
Royal Borough of Kingston upon Thames,Royal Borough of Kingston upon Thames
Royal Borough of Windsor and Maidenhead,Royal Borough of Windsor and Maidenhead
Rugby Borough Council,Rugby Borough Council
Runnymede Borough Council,Runnymede Borough Council
Rushcliffe Borough Council,Rushcliffe Borough Council
Rushmoor Borough Council,Rushmoor Borough Council
Rutland County Council,Rutland County Council
Ryedale District Council,Ryedale District Council
Salford City Council,Salford City Council
Scarborough Borough Council,Scarborough Borough Council
Scunthorpe and Gainsborough Water Management Board,Scunthorpe and Gainsborough Water Management Board
Sedgemoor District Council,Sedgemoor District Council
Selby District Council,Selby District Council
Sevenoaks District Council,Sevenoaks District Council
Severn Trent Water,Severn Trent Water
Sheffield City Council,Sheffield City Council
Shropshire Council,Shropshire Council
Slough Borough Council,Slough Borough Council
Somerset County Council,Somerset County Council
South Cambridgeshire District Council,South Cambridgeshire District Council
South Derbyshire District Council,South Derbyshire District Council
South Gloucestershire Council,South Gloucestershire Council
South Hams District Council,South Hams District Council
South Holland District Council,South Holland District Council
South Kesteven District Council,South Kesteven District Council
South Lakeland District Council,South Lakeland District Council
South Norfolk District Council,South Norfolk District Council
South Oxfordshire District Council,South Oxfordshire District Council
South Ribble Borough Council,South Ribble Borough Council
South Somerset District Council,South Somerset District Council
South West Water,South West Water
Southampton City Council,Southampton City Council
Southern Water,Southern Water
Spelthorne Borough Council,Spelthorne Borough Council
Stafford Borough Council,Stafford Borough Council
Staffordshire County Council,Staffordshire County Council
Staffordshire Moorlands District Council,Staffordshire Moorlands District Council
Stevenage Borough Council,Stevenage Borough Council
Stroud District Council,Stroud District Council
Suffolk County Council,Suffolk County Council
Sunderland City Council,Sunderland City Council
Surrey County Council,Surrey County Council
Surrey Heath Borough Council,Surrey Heath Borough Council
Swale Borough Council,Swale Borough Council
Swindon Borough Council,Swindon Borough Council
Tamworth Borough Council,Tamworth Borough Council
Tandridge District Council,Tandridge District Council
Teignbridge District Council,Teignbridge District Council
Tendring District Council,Tendring District Council
Test Valley Borough Council,Test Valley Borough Council
Tewkesbury Borough Council,Tewkesbury Borough Council
Thames Water,Thames Water
Thanet District Council,Thanet District Council
Three Rivers District Council,Three Rivers District Council
Thurrock Council,Thurrock Council
Tonbridge and Malling Borough Council,Tonbridge and Malling Borough Council
Torbay Council,Torbay Council
Torridge District Council,Torridge District Council
Tunbridge Wells Borough Council,Tunbridge Wells Borough Council
United Utilities,United Utilities
Uttlesford District Council,Uttlesford District Council
Vale of White Horse District Council,Vale of White Horse District Council
Warrington Borough Council,Warrington Borough Council
Warwick District Council,Warwick District Council
Warwickshire County Council,Warwickshire County Council
Watford Borough Council,Watford Borough Council
Waverley Borough Council,Waverley Borough Council
Wealden District Council,Wealden District Council
Wellingborough Borough Council,Wellingborough Borough Council
Welwyn Hatfield Borough Council,Welwyn Hatfield Borough Council
Wessex Water,Wessex Water
West Berkshire Council,West Berkshire Council
West Devon Borough Council,West Devon Borough Council
West Lindsey District Council,West Lindsey District Council
West Oxfordshire District Council,West Oxfordshire District Council
West Sussex County Council,West Sussex County Council
